Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,SSD backed PD Capacity,B188-61DD-52E4,"217,295.026",gibibyte month,36925.60,-5169.59,0.00,0.00,31756.011089,31756.01,0%
Compute Engine,6F81-5844-456A,Commitment v1: Cpu in Americas for 1 Year,6FDA-DB41-BB57,"1,181,830.222",hour,23536.15,-3530.42,0.00,0.00,20005.725726,20005.73,-10%
Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,"180,498.883",gibibyte month,18042.69,-2525.98,0.00,0.00,15516.711268,15516.71,0%
Compute Engine,6F81-5844-456A,Commitment v1: Ram in Americas for 1 Year,E35D-222F-E443,"5,190,652.056",gibibyte hour,13853.85,-2078.08,0.00,0.00,11775.771879,11775.77,-10%
Compute Engine,6F81-5844-456A,Commitment v1: Cpu in APAC for 1 Year,DDB7-BD77-827D,"537,195.556",hour,12387.19,-1858.08,0.00,0.00,10529.112646,10529.11,-10%
Networking,E505-1604-58F8,Networking Cloud Armor Requests,1A87-DEB9-C4BE,"13,754,904,853",count,10316.13,-1444.28,0.00,0.00,8871.849553,8871.85,-12%
Compute Engine,6F81-5844-456A,Commitment v1: N2 Cpu in APAC for 1 Year,61E4-C842-7068,"405,582.644",hour,9352.33,-1402.85,0.00,0.00,7949.479772,7949.48,-10%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Asia Regional,BAE2-255B-64A7,"451,108.346",gibibyte month,8991.36,-1258.79,0.00,0.00,7732.571820,7732.57,-1%
Compute Engine,6F81-5844-456A,Commitment v1: Ram in APAC for 1 Year,786E-AF20-FC2B,"2,417,380",gibibyte hour,7472.12,-1120.82,0.00,0.00,6351.302548,6351.30,-10%
Vertex AI,C7E2-9256-1C43,Gemini 1.5 Pro Tuning,C70F-6251-134A,"83,847,711",count,6707.82,-939.09,0.00,0.00,5768.722513,5768.72,107%
Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,"1,406,008.901",hour,44445.34,-11111.34,-27908.28,0.00,5425.720625,5425.72,-16%
