Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
BigQuery Reservation API,16B8-3DDA-9F10,BigQuery Standard Edition for US (multi-region),5DE7-AD37-6FAB,"1,094,221.625",hour,43768.86,-6127.64,0.00,0.00,37641.223321,37641.22,-10%
Compute Engine,6F81-5844-456A,Compute optimized Core running in Americas,0F79-08F1-0D8A,"100,839.032",hour,3426.71,-856.68,0.00,0.00,2570.033344,2570.03,-9%
BigQuery,24E6-581D-38E5,Active Physical Storage (US),901F-36D9-3005,"59,061.821",gibibyte month,2357.88,-330.10,0.00,0.00,2027.774499,2027.77,3%
Compute Engine,6F81-5844-456A,Compute optimized Ram running in Americas,E7E5-0449-5933,"403,356.138",gibibyte hour,1837.29,-459.32,0.00,0.00,1377.964814,1377.96,-9%
BigQuery,24E6-581D-38E5,Long-Term Physical Storage (US),2FAA-620A-0686,"67,347.829",gibibyte month,1344.36,-188.21,0.00,0.00,1156.145654,1156.15,1%
Compute Engine,6F81-5844-456A,Commitment v1: E2 Cpu in Americas for 1 Year,F0E3-4F53-A0FB,"96,768.28",hour,1329.72,-186.16,0.00,0.00,1143.560091,1143.56,-10%
BigQuery,24E6-581D-38E5,Streaming Insert,934C-4547-E59A,"18,894,270.495",mebibyte,944.71,-132.26,0.00,0.00,812.451485,812.45,-14%
Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,"8,429.887",gibibyte month,842.66,-117.97,0.00,0.00,724.685615,724.69,0%
Cloud Monitoring,58CD-E7C3-72CA,Metric Volume,A924-09D0-8854,"3,357.512",mebibyte,827.53,-115.86,0.00,0.00,711.674556,711.67,-11%
Cloud Pub/Sub,A1E8-BE35-7EBC,Message Delivery Basic,027D-B6C7-CCA2,19.222,tebibyte,768.48,-107.59,0.00,0.00,660.894917,660.89,-37%
Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,"1,396.662",gibibyte,653.69,-91.52,0.00,0.00,562.170967,562.17,-1%
Compute Engine,6F81-5844-456A,Commitment v1: E2 Ram in Americas for 1 Year,8826-F8CF-0346,"330,624.957",gibibyte hour,608.95,-85.25,0.00,0.00,523.698628,523.70,-10%
Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,"14,406.429",gibibyte month,574.83,-80.48,0.00,0.00,494.356608,494.36,4%
Cloud Storage,95FF-2EF5-5EA1,Archive Storage Iowa,EC4B-C190-470D,"465,827.126",gibibyte month,557.06,-77.99,0.00,0.00,479.072047,479.07,0%
Compute Engine,6F81-5844-456A,Nvidia Tesla T4 GPU running in APAC,8795-7C9F-4FD9,"1,439.443",hour,503.80,-70.53,0.00,0.00,433.271778,433.27,-9%
Cloud Composer,1992-3666-B975,Cloud Composer Compute mCPUs (us-central1),B701-3D6E-BFF1,"11,054,725.488",hour,497.46,-69.64,0.00,0.00,427.817460,427.82,-11%
BigQuery,24E6-581D-38E5,Active Logical Storage,947D-3B46-7781,"23,341.135",gibibyte month,466.00,-65.24,0.00,0.00,400.761743,400.76,54%
Compute Engine,6F81-5844-456A,E2 Instance Core running in Americas,CF4E-A0C7-E3BF,"43,894.512",hour,957.41,-239.35,-365.99,0.00,352.065671,352.07,-1%
BigQuery Reservation API,16B8-3DDA-9F10,BigQuery Enterprise Edition for US (multi-region),C0F6-38AB-6629,"6,184.389",hour,371.06,-51.95,0.00,0.00,319.114285,319.11,-4%
Kubernetes Engine,CCD8-9BF1-090E,Regional Kubernetes Clusters,B561-BFBD-1264,"3,359.344",hour,335.93,-47.03,0.00,0.00,288.902993,288.90,-10%
Cloud Composer,1992-3666-B975,Cloud Composer Compute Memory (us-central1),D7FD-FC38-57D9,"50,351.735",gibibyte hour,251.76,-35.25,0.00,0.00,216.511487,216.51,-12%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M3 Iowa/South Carolina/Oregon,BCFE-C13E-AAB3,"10,749.916",gibibyte hour,247.25,-34.61,0.00,0.00,212.632830,212.63,-10%
Cloud Composer,1992-3666-B975,Small Cloud Composer Environment Fee (us-central1).,6EA4-3652-173E,671.832,hour,235.14,-32.92,0.00,0.00,202.218982,202.22,-10%
Cloud Pub/Sub,A1E8-BE35-7EBC,Message Delivery to BigQuery,FCD2-1531-9A6F,4.643,tebibyte,232.14,-32.50,0.00,0.00,199.642849,199.64,-7%
Cloud Storage,95FF-2EF5-5EA1,Autoclass Coldline Storage Iowa,FC93-7D27-5888,"50,427.4",gibibyte month,201.01,-28.14,0.00,0.00,172.871654,172.87,0%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Capacity Basic M1 Iowa/South Carolina/Oregon,38BC-F861-2EB5,"4,031.218",gibibyte hour,197.53,-27.65,0.00,0.00,169.874812,169.87,-10%
Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,"39,070.345",hour,191.99,-26.88,0.00,0.00,165.110320,165.11,-13%
BigQuery,24E6-581D-38E5,Long Term Logical Storage,993F-6B6B-DCC4,"17,668.33",gibibyte month,176.28,-24.68,0.00,0.00,151.600718,151.60,5%
Cloud Storage,95FF-2EF5-5EA1,Autoclass Coldline Storage US Multi-region,90CD-3760-BC31,"24,740.499",gibibyte month,172.59,-24.16,0.00,0.00,148.423892,148.42,0%
Compute Engine,6F81-5844-456A,Custom Extended Instance Ram running in APAC,171B-A8E4-FD07,"17,468.043",gibibyte hour,193.18,-48.29,0.00,0.00,144.883770,144.88,-10%
Compute Engine,6F81-5844-456A,E2 Instance Ram running in Americas,F449-33EC-A5EF,"180,930.107",gibibyte hour,528.95,-132.24,-257.20,0.00,139.515726,139.52,13%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Regional - Standard storage in Americas,F5EC-5814-93C3,382,gibibyte month,129.82,-18.18,0.00,0.00,111.648221,111.65,0%
