Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in APAC,4842-5B9D-3916,"115,445.413",hour,4225.53,-1056.38,0.00,0.00,3169.148352,3169.15,2%
Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in APAC,C274-DFF1-D882,"469,865.02",gibibyte hour,2305.16,-576.29,0.00,0.00,1728.866816,1728.87,1%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Regional - vCPU in APAC,F3D9-7F4B-CDDD,"18,411.501",hour,1520.79,-212.91,0.00,0.00,1307.879388,1307.88,-5%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Tokyo,1845-1496-2891,"33,103.175",gibibyte month,758.74,-106.22,0.00,0.00,652.518861,652.52,3%
Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,"1,508.163",gibibyte,704.07,-98.57,0.00,0.00,605.500840,605.50,-25%
Compute Engine,6F81-5844-456A,Spot Preemptible E2 Instance Core running in APAC,6973-FC9A-3477,"42,615.259",hour,430.41,0.00,0.00,0.00,430.413310,430.41,24%
Compute Engine,6F81-5844-456A,E2 Instance Core running in APAC,92C8-7C92-6AEF,"22,544.247",hour,569.36,-142.34,0.00,0.00,427.021156,427.02,-6%
Cloud Storage,95FF-2EF5-5EA1,Standard Storage Asia Multi-region,E653-0A40-3B69,"18,513.591",gibibyte month,478.17,-66.94,0.00,0.00,411.226183,411.23,8%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Regional - Standard storage in APAC,7EAC-0EC7-8136,"1,174",gibibyte month,398.99,-55.86,0.00,0.00,343.128114,343.13,0%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Regional - RAM in APAC,3658-3590-0FE5,"28,349.666",gibibyte hour,396.90,-55.57,0.00,0.00,341.329972,341.33,-30%
Kubernetes Engine,CCD8-9BF1-090E,Regional Kubernetes Clusters,B561-BFBD-1264,"2,687.475",hour,268.75,-37.62,0.00,0.00,231.121870,231.12,-9%
Compute Engine,6F81-5844-456A,Spot Preemptible E2 Instance Ram running in APAC,64F3-9E6F-1C3E,"170,439.293",gibibyte hour,230.77,0.00,0.00,0.00,230.773915,230.77,24%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - Standard storage in APAC,1393-84CE-E1E0,"1,390.136",gibibyte month,236.23,-33.07,0.00,0.00,203.153507,203.15,5%
Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,"5,782.244",gibibyte month,230.02,-32.20,0.00,0.00,197.821163,197.82,16%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - vCPU in APAC,3B5B-AB51-0310,"5,376",hour,222.03,-31.08,0.00,0.00,190.944768,190.94,-10%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - vCPU in APAC,A2C5-D7E7-7B37,"5,376",hour,222.03,-31.08,0.00,0.00,190.944768,190.94,-10%
Networking,E505-1604-58F8,Cloud Load Balancer Forwarding Rule Additional Global,1211-928B-AF92,"21,499.787",hour,215.00,-30.10,0.00,0.00,184.897780,184.90,-9%
Cloud Logging,5490-F7B7-8DF6,Log Retention cost,F4AE-5A52-ACE3,"19,942.467",gibibyte month,199.34,-27.91,0.00,0.00,171.434188,171.43,1%
Cloud SQL,9662-B51E-5089,Cloud SQL for MySQL: Zonal - RAM in APAC,21BA-13B1-D9C5,"27,888",gibibyte hour,195.22,-27.33,0.00,0.00,167.885760,167.89,-10%
Cloud SQL,9662-B51E-5089,Cloud SQL for PostgreSQL: Zonal - RAM in APAC,A80F-08FD-6311,"21,504",gibibyte hour,150.53,-21.07,0.00,0.00,129.454080,129.45,-10%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Taiwan to Apac(Excluding Korea and Indonesia),39C4-C178-DBED,"1,150.232",gibibyte,136.78,-34.20,0.00,0.00,102.579799,102.58,41%
Compute Engine,6F81-5844-456A,External IP Charge on a Standard VM,C054-7F72-A02E,"23,150.161",hour,112.39,-15.73,0.00,0.00,96.654563,96.65,-3%
Cloud Monitoring,58CD-E7C3-72CA,Metric Volume,A924-09D0-8854,514.967,mebibyte,94.16,-13.18,0.00,0.00,80.975135,80.98,314%
Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,900.056,gibibyte month,89.97,-12.60,0.00,0.00,77.372198,77.37,0%
Compute Engine,6F81-5844-456A,SSD backed PD Capacity,B188-61DD-52E4,514.9,gibibyte month,87.50,-12.25,0.00,0.00,75.246885,75.25,0%
Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - APAC Based,9428-46F3-3796,"1,409.891",gibibyte,84.58,-11.84,0.00,0.00,72.740464,72.74,63%
Compute Engine,6F81-5844-456A,E2 Instance Ram running in APAC,FD4D-A383-8DAB,"27,930.804",gibibyte hour,94.55,-23.64,0.00,0.00,70.910658,70.91,-11%
Compute Engine,6F81-5844-456A,Network Inter Zone Data Transfer Out,DE9E-AFBC-A15A,"6,303.28",gibibyte,63.03,-15.76,0.00,0.00,47.272650,47.27,-18%
Cloud Storage,95FF-2EF5-5EA1,Download APAC,1F8B-71B0-3D1B,563.926,gibibyte,55.67,-13.92,0.00,0.00,41.753303,41.75,-1%
