Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,List cost ($),Negotiated savings ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($),Percent change in subtotal compared to previous period
Vertex AI,C7E2-9256-1C43,Vertex AI: Provisioned Throughput 1 Year,9192-74A6-DE45,6,month,11999.06,-1679.87,0.00,0.00,10319.190367,10319.19,0%
Compute Engine,6F81-5844-456A,Balanced PD Capacity,6AE1-525F-8B80,"94,881.918",gibibyte month,9484.41,-1327.82,0.00,0.00,8156.595420,8156.60,0%
Compute Engine,6F81-5844-456A,Custom Instance Core running in Americas,ACBC-6999-A1C4,"304,778.5",hour,10116.07,-2529.02,0.00,0.00,7587.048767,7587.05,-11%
Compute Engine,6F81-5844-456A,N1 Predefined Instance Core running in Americas,2E27-4F75-95CD,"179,333.126",hour,5668.90,-1417.23,0.00,0.00,4251.671330,4251.67,-4%
Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Americas,F274-1692-F213,"37,361.826",gibibyte,3306.26,-826.57,0.00,0.00,2479.693990,2479.69,3%
Cloud Filestore,D97E-AB26-5D95,Filestore Capacity Zonal and High Scale South Carolina,9833-66AD-99CA,"10,238.015",gibibyte month,2558.49,-358.19,0.00,0.00,2200.298409,2200.30,0%
Compute Engine,6F81-5844-456A,Custom Instance Ram running in Americas,51E2-59BD-7A6E,"608,267.671",gibibyte hour,2704.35,-676.09,0.00,0.00,2028.264581,2028.26,-11%
Compute Engine,6F81-5844-456A,N1 Predefined Instance Ram running in Americas,6C71-E844-38BC,"636,456.399",gibibyte hour,2696.66,-674.17,0.00,0.00,2022.495794,2022.50,-3%
Compute Engine,6F81-5844-456A,SSD backed PD Capacity,B188-61DD-52E4,"11,337.141",gibibyte month,1926.57,-269.72,0.00,0.00,1656.848237,1656.85,-1%
Compute Engine,6F81-5844-456A,Storage PD Capacity,D973-5D65-BAB2,"38,165.326",gibibyte month,1524.80,-213.47,0.00,0.00,1311.328592,1311.33,0%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Standard Node Capacity M3 Iowa,92DF-7B71-FFAD,"47,030.881",gibibyte hour,1081.71,-151.44,0.00,0.00,930.270336,930.27,-10%
Cloud Memorystore for Redis,5AF5-2C11-D467,Redis Standard Node Capacity M2 Iowa,2742-07C4-B8DD,"35,609.095",gibibyte hour,961.45,-134.60,0.00,0.00,826.842023,826.84,-10%
BigQuery,24E6-581D-38E5,Long Term Logical Storage,993F-6B6B-DCC4,"75,995.66",gibibyte month,758.57,-106.20,0.00,0.00,652.367544,652.37,8%
